단원,차시주제,태그1,태그2,다음지식(mp4),"EBS지식(wmv)
(현재 모바일에서 재생안됨)"
1.귀중한나참다운꿈,나를찾아서,나를찾아서,"꿈,자긍심,관계,relation",http://ebs.daum.net/knowledge/episode/1446,http://www.ebs.co.kr/replay/show?courseId=BP0PAPB0000000009&stepId=01BP0PAPB0000000009&lectId=10118427
,내가노력하여가야할길,내가노력하여가야할길,"꿈,참된 자긍심,꿈,정체성,identity",http://ebs.daum.net/knowledge/episode/1015,http://www.ebs.co.kr/replay/show?courseId=BP0PAPB0000000009&stepId=01BP0PAPB0000000009&lectId=10062578
,꿈을향해달려요,꿈을향해달려요,"꿈,자기계발,꿈,사람,people",http://ebs.daum.net/knowledge/episode/24621,http://www.ebs.co.kr/replay/show?courseId=BP0PAPB0000000009&stepId=01BP0PAPB0000000009&lectId=3091327
2.책임을다하는삶,책임보물찾기,책임보물찾기,"책임,사람,people",http://ebs.daum.net/knowledge/episode/1031,http://www.ebs.co.kr/replay/show?courseId=BP0PAPB0000000009&stepId=01BP0PAPB0000000009&lectId=3071938
,책임있는판단과선택,책임있는판단과선택,"책임있는행동,사회,society",http://ebs.daum.net/knowledge/episode/1142,http://www.ebs.co.kr/replay/show?courseId=BP0PAPB0000000009&stepId=01BP0PAPB0000000009&lectId=3044284
,우리의책임입니다,우리의책임입니다,"책임을다한모범사례,사회,society",http://ebs.daum.net/seat/episode/6926,http://www.ebs.co.kr/replay/show?courseId=BP0PAPB0000000009&stepId=01BP0PAPB0000000009&lectId=1178074
3.우리함께지켜요,우리가지켜야할것들,우리가지켜야할것들,"법과 규칙,기술,technology",http://ebs.daum.net/knowledge/episode/25365,http://www.ebs.co.kr/replay/show?courseId=BP0PAPB0000000009&stepId=01BP0PAPB0000000009&lectId=10144551
,올바르게규칙지키기,올바르게규칙지키기,"학급 규칙,준법,캐릭터,character",http://ebs.daum.net/knowledge/episode/7256,http://www.ebs.co.kr/replay/show?courseId=BP0PAPB0000000009&stepId=01BP0PAPB0000000009&lectId=3116128
,함께만들고제대로지켜요,함께만들고제대로지켜요,"정의로운 학급 공동체 회의,진실,true,truth",http://ebs.daum.net/knowledge/episode/24231,http://www.ebs.co.kr/replay/show?courseId=BP0PAPB0000000009&stepId=01BP0PAPB0000000009&lectId=3099430
4.서로배려하고봉사하며,너를나처럼,너를나처럼,배려,http://ebs.daum.net/bumo60/episode/7144,http://www.ebs.co.kr/replay/show?courseId=BP0PAPB0000000009&stepId=01BP0PAPB0000000009&lectId=10171484
